Site Set,Field,Bytesize(Approximately. After Serialize),Count,Top1%
0,,7463573921,19907,591251
0,ranking_compress_data,79628,19907,4
0,ranking_new_ad_batch_size,59721,19907,3
0,recommend_context,5383434760,19907,454859
0,recommend_context.flow_context,1184711863,19907,108911
0,recommend_context.flow_context.channel_info,79628,19907,4
0,recommend_context.flow_context.channel_info.sdk_version,39814,19907,2
0,recommend_context.flow_context.click_feature_entity,138989591,18800,21523
0,recommend_context.flow_context.click_feature_entity.bytes_array,3957063,11933,1664
0,recommend_context.flow_context.click_feature_entity.feature_id,60096998,18800,6775
0,recommend_context.flow_context.click_feature_entity.float_array,25631617,18800,5320
0,recommend_context.flow_context.click_feature_entity.int_array,33937876,18800,7228
0,recommend_context.flow_context.click_feature_entity.int_feature_id,5933892,18800,678
0,recommend_context.flow_context.click_feature_entity.int_value,1180310,11933,191
0,recommend_context.flow_context.click_feature_entity.value_type,2807953,18800,321
0,recommend_context.flow_context.click_feature_entity.weight_array,1444755,11933,424
0,recommend_context.flow_context.click_novelty_data,19377228,19907,6083
0,recommend_context.flow_context.click_novelty_data.ckv_ads,19317506,18969,6080
0,recommend_context.flow_context.click_novelty_data.ckv_ads.ad_id,544817,18969,165
0,recommend_context.flow_context.click_novelty_data.ckv_ads.ad_type,272401,18955,82
0,recommend_context.flow_context.click_novelty_data.ckv_ads.adgroup_id,721791,18959,220
0,recommend_context.flow_context.click_novelty_data.ckv_ads.advertiser_id,454086,18969,138
0,recommend_context.flow_context.click_novelty_data.ckv_ads.ams_first_industry,620953,18634,192
0,recommend_context.flow_context.click_novelty_data.ckv_ads.ams_second_industry,620953,18634,192
0,recommend_context.flow_context.click_novelty_data.ckv_ads.cost_type,271153,18623,82
0,recommend_context.flow_context.click_novelty_data.ckv_ads.creative_cluster_fingerprint,996408,18956,303
0,recommend_context.flow_context.click_novelty_data.ckv_ads.creative_id,631846,18969,193
0,recommend_context.flow_context.click_novelty_data.ckv_ads.customer_id,542946,18799,165
0,recommend_context.flow_context.click_novelty_data.ckv_ads.data_model_version,271573,18731,82
0,recommend_context.flow_context.click_novelty_data.ckv_ads.demand_cognitive_unit_id,418888,17909,131
0,recommend_context.flow_context.click_novelty_data.ckv_ads.dsp_id,158925,17718,49
0,recommend_context.flow_context.click_novelty_data.ckv_ads.export_id_hash_value,36,3,12
0,recommend_context.flow_context.click_novelty_data.ckv_ads.fingerprint_product,621744,18843,190
0,recommend_context.flow_context.click_novelty_data.ckv_ads.fingerprint_tid,996246,18936,303
0,recommend_context.flow_context.click_novelty_data.ckv_ads.md_mid,544291,18951,165
0,recommend_context.flow_context.click_novelty_data.ckv_ads.product_id,535732,18966,163
0,recommend_context.flow_context.click_novelty_data.ckv_ads.quality_product_id_exp,627835,18966,191
0,recommend_context.flow_context.click_novelty_data.ckv_ads.real_product_id,2797523,18969,1120
0,recommend_context.flow_context.click_novelty_data.ckv_ads.view_details,6449045,18969,2156
0,recommend_context.flow_context.click_novelty_data.ckv_ads.view_details.export_id_hash_value,1187794,17384,406
0,recommend_context.flow_context.click_novelty_data.ckv_ads.view_details.fraud_type,325366,18737,107
0,recommend_context.flow_context.click_novelty_data.ckv_ads.view_details.is_valuable_click,12,3,4
0,recommend_context.flow_context.click_novelty_data.ckv_ads.view_details.material_full_embedding,34192,118,289
0,recommend_context.flow_context.click_novelty_data.ckv_ads.view_details.placement_id,1095511,18959,358
0,recommend_context.flow_context.click_novelty_data.ckv_ads.view_details.session_id,1917432,18584,666
0,recommend_context.flow_context.click_novelty_data.ckv_ads.view_details.site_id,876637,18969,287
0,recommend_context.flow_context.click_novelty_data.ckv_ads.view_details.video_duration,37021,4662,18
0,recommend_context.flow_context.click_novelty_data.ckv_ads.view_details.video_play_duration,39752,5818,18
0,recommend_context.flow_context.click_novelty_data.ckv_ads.view_details.view_time,657569,18969,215
0,recommend_context.flow_context.display_request_version_info,59721,19907,3
0,recommend_context.flow_context.export_id,419767,3960,106
0,recommend_context.flow_context.exposure_feature_entity,678367929,19308,66832
0,recommend_context.flow_context.exposure_feature_entity.bytes_array,48470395,19305,8948
0,recommend_context.flow_context.exposure_feature_entity.feature_id,127027139,19308,9290
0,recommend_context.flow_context.exposure_feature_entity.float_array,195229201,19308,20931
0,recommend_context.flow_context.exposure_feature_entity.int_array,259019084,19308,27558
0,recommend_context.flow_context.exposure_feature_entity.int_feature_id,13507183,19308,986
0,recommend_context.flow_context.exposure_feature_entity.int_value,3746912,19305,241
0,recommend_context.flow_context.exposure_feature_entity.value_type,6348625,19308,455
0,recommend_context.flow_context.exposure_feature_entity.weight_array,15444910,19305,1451
0,recommend_context.flow_context.exposure_novelty_data,258381244,19907,23487
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads,258321522,19855,23484
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.ad_id,8207359,19855,716
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.ad_type,4102613,19855,358
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.adgroup_id,10910908,19855,952
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.advertiser_id,6839508,19855,596
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.ams_first_industry,9141791,19809,799
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.ams_second_industry,9141791,19809,799
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.cost_type,4103777,19845,358
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.creative_cluster_fingerprint,15026286,19855,1311
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.creative_id,9560884,19855,834
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.customer_id,8204854,19853,716
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.data_model_version,4103789,19848,358
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.demand_cognitive_unit_id,6398787,19837,561
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.dsp_id,29216,2171,23
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.fingerprint_product,9405135,19854,821
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.fingerprint_tid,15014137,19850,1308
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.inner_spu_id,22,1,22
0,recommend_context.flow_context.exposure_novelty_data.ckv_ads.md_mid,8206801,19855,716
